player_id,appearances,starts_estimated,goals,assists,shots,yellow_cards,red_cards,pace,shooting,passing,defending,physical,rating_source
20250309,0,0,0,0,0,0,0,62,49,62,54,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250020,0,0,0,0,0,0,0,62,49,62,54,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240062,15,12,0,0,6,0,0,66,50,71,59,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220334,2,1,0,0,0,1,0,61,49,63,55,52,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240286,0,0,0,0,0,0,0,58,39,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260164,0,0,0,0,0,0,0,60,39,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230053,8,7,0,0,0,2,0,62,39,57,67,64,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20210305,13,13,0,2,4,2,0,62,40,64,71,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220113,4,1,0,0,0,1,0,59,39,55,64,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250189,11,9,0,0,0,1,0,63,39,58,70,63,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220087,5,2,0,0,1,0,0,59,39,56,65,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180127,8,7,1,0,6,0,0,60,43,57,68,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20170188,3,2,0,0,0,2,0,59,39,55,64,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
